,Project Name,Builder Name,Parent Builder,Status,State,County,City,Zip Code,Master Plan,Product Type,Unit Size Min,Unit Size Max,Sales Office Phone Number,Website,Typical Lot Size,Lot Dimension,Lot Width,Sales Rate,Sales Rate (Last 3 Months),Sales Rate (Last 6 Months),Sales Rate (Last 12 Months),Sold Out Date,Sales Change Date,Open Date,Total Units Planned,Total Units Sold,Total Remaining,Last Price Change Date,MinPrice,MaxPrice,Lat,Long,HOA ($/SF),HOA1,HOA2,Assessments,Assessments Description,Characteristics,County Code,Project Key,Plan Name (1),# of Beds (1),# of Baths (1),# of Floors (1),Garage (1),Square Footage (1),Price (1)
0,Andalusia at Coral Mountain,Drummond Company Inc,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Detached,3280,5131,(760) 777-1000,https://goo.gl/9zIdyk,14162,73'x194',73,1.5,0.3,0.3,0.8,,7/31/2018,3/1/2006,450,221,229,7/31/2018,1275000,2095000,33.623638,-116.24136,,755,,1.25%,,,6065,17832,Agave,3,4.5,1,3,3280,1290000
1,Andalusia at Coral Mountain,Drummond Company Inc,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Detached,3280,5131,(760) 777-1000,https://goo.gl/9zIdyk,14162,73'x194',73,1.5,0.3,0.3,0.8,,7/31/2018,3/1/2006,450,221,229,7/31/2018,1275000,2095000,33.623638,-116.24136,,755,,1.25%,,,6065,17832,Cypress,3,4.5,1,3,3560,1275000
2,Andalusia at Coral Mountain,Drummond Company Inc,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Detached,3280,5131,(760) 777-1000,https://goo.gl/9zIdyk,14162,73'x194',73,1.5,0.3,0.3,0.8,,7/31/2018,3/1/2006,450,221,229,7/31/2018,1275000,2095000,33.623638,-116.24136,,755,,1.25%,,,6065,17832,Larkspur,4,4.5,1,3,3612,1275000
3,Andalusia at Coral Mountain,Drummond Company Inc,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Detached,3280,5131,(760) 777-1000,https://goo.gl/9zIdyk,14162,73'x194',73,1.5,0.3,0.3,0.8,,7/31/2018,3/1/2006,450,221,229,7/31/2018,1275000,2095000,33.623638,-116.24136,,755,,1.25%,,,6065,17832,Greystone,5,4.5,1,3,4184,1775000
4,Andalusia at Coral Mountain,Drummond Company Inc,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Detached,3280,5131,(760) 777-1000,https://goo.gl/9zIdyk,14162,73'x194',73,1.5,0.3,0.3,0.8,,7/31/2018,3/1/2006,450,221,229,7/31/2018,1275000,2095000,33.623638,-116.24136,,755,,1.25%,,,6065,17832,Coralstone,5,4.5,1,3,4331,1795000
5,Andalusia at Coral Mountain,Drummond Company Inc,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,,Detached,3280,5131,(760) 777-1000,https://goo.gl/9zIdyk,14162,73'x194',73,1.5,0.3,0.3,0.8,,7/31/2018,3/1/2006,450,221,229,7/31/2018,1275000,2095000,33.623638,-116.24136,,755,,1.25%,,,6065,17832,Santa-Rosa,4,4.5,1,3,5131,2095000
6,Encore,Lennar,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,Griffin Ranch,Detached,3271,3818,(760) 501-2960,https://goo.gl/XdVT3m,15000,,,1.7,2,1.3,,,7/16/2018,11/25/2017,100,13,87,8/10/2018,817878,1056500,33.650864,-116.24474,,654,,1.25%,,,6065,214144,Residence OneX,4,4.5,1,2,3271,817878
7,Encore,Lennar,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,Griffin Ranch,Detached,3271,3818,(760) 501-2960,https://goo.gl/XdVT3m,15000,,,1.7,2,1.3,,,7/16/2018,11/25/2017,100,13,87,8/10/2018,817878,1056500,33.650864,-116.24474,,654,,1.25%,,,6065,214144,Residence Two,4,4.5,1,3,3314,869500
8,Encore,Lennar,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,Griffin Ranch,Detached,3271,3818,(760) 501-2960,https://goo.gl/XdVT3m,15000,,,1.7,2,1.3,,,7/16/2018,11/25/2017,100,13,87,8/10/2018,817878,1056500,33.650864,-116.24474,,654,,1.25%,,,6065,214144,Residence Three,4,4.5,1,3,3475,877100
9,Encore,Lennar,,ACTIVE PROJECT,CA,Riverside,La Quinta,92253,Griffin Ranch,Detached,3271,3818,(760) 501-2960,https://goo.gl/XdVT3m,15000,,,1.7,2,1.3,,,7/16/2018,11/25/2017,100,13,87,8/10/2018,817878,1056500,33.650864,-116.24474,,654,,1.25%,,,6065,214144,Residence Four,4,4.5,1,3,3818,1056500
