BnB,HOA,_id,address,city,dollar_per_sqfeet,lat,location,long,price,property_type,redfin_link,sq_feet,state,year_built
4B3.5B,170.0,5c0a464a6ee39237d843c76a,100 Mongoose,Irvine,503,33.6858563,GP - Great Park,-117.7356527,1180000,Single-Family,http://www.redfin.com/CA/Irvine/100-Mongoose-92618/home/102904972,2347,CA,2016.0
5B5.5B,215.0,5c0a464a6ee39237d843c76b,100 Paramount,Irvine,470,33.685171999999994,GP - Great Park,-117.731027,1798000,Single-Family,http://www.redfin.com/CA/Irvine/100-Paramount-92618/home/105486514,3825,CA,2016.0
3B2.5B,232.0,5c0a464a6ee39237d843c76c,100 Walking Stick,Irvine,540,33.665242,PS - Portola Springs,-117.7490656,885000,Townhouse,http://www.redfin.com/CA/IRVINE/100-WALKING-STICK-92618/home/112724480,1640,CA,2017.0
5B5.5B,215.0,5c0a464a6ee39237d843c76d,101 Crossover,Irvine,436,33.665242,GP - Great Park,-117.7490656,1734990,Single-Family,http://www.redfin.com/CA/Irvine/101-Crossover-92618/home/147296191,3983,CA,2018.0
5B5.5B,,5c0a464a6ee39237d843c76e,101 Spacial,Irvine,466,33.684457,Estrella at Altair,-117.71046399999999,2526075,Single-Family,http://www.redfin.com/CA/Irvine/101-Spacial-92618/home/146170442,5416,CA,2018.0
2B2.5B,408.0,5c0a464a6ee39237d843c76f,102 Acamar,Irvine,423,33.6862128,GP - Great Park,-117.73572639999999,719900,Condo,http://www.redfin.com/CA/Irvine/102-Acamar-92618/home/143914902,1700,CA,2016.0
2B2.0B,310.0,5c0a464a6ee39237d843c770,102 Capricorn,Irvine,477,33.7011379,IRSP - Irvine Spectrum,-117.72990039999999,589000,Condo,http://www.redfin.com/CA/Irvine/102-Capricorn-92618/home/112728877,1235,CA,2015.0
4B4.5B,189.0,5c0a464a6ee39237d843c771,102 Masterpiece,Irvine,414,33.665242,GP - Great Park,-117.7490656,1200046,Condo,http://www.redfin.com/CA/Irvine/102-Masterpiece-92618/home/146948733,2900,CA,2018.0
4B4.5B,215.0,5c0a464a6ee39237d843c772,102 Measure,Irvine,498,33.6852,GP - Great Park,-117.72200000000001,1439990,Single-Family,http://www.redfin.com/CA/Irvine/102-Measure-92618/home/146420185,2891,CA,2018.0
4B3.0B,258.0,5c0a464a6ee39237d843c773,102 Vessel,Irvine,495,33.690303,PS - Portola Springs,-117.70583500000001,985913,Condo,http://www.redfin.com/CA/Irvine/102-Vessel-92618/home/146436987,1991,CA,2018.0
